date,plot,plant_id,raceme_id,raceme_length,budding,mature,post_flowering,missing,fruiting,code,notes,notes2,finished,pollination_plant,previously.finished
12-Jul,CON7,2,14,12,0,0,0,22,5,none,,,TRUE,TRUE,TRUE
21-Jul,CON7,2,14,12,0,0,0,22,5,none,,,TRUE,TRUE,TRUE
01-Aug,CON7,2,14,12,0,0,0,22,5,none,,,TRUE,TRUE,TRUE
12-Jul,CON7,2,16,8,0,0,0,16,2,none,,,TRUE,TRUE,TRUE
21-Jul,CON7,2,16,8,0,0,0,16,2,none,,,TRUE,TRUE,TRUE
01-Aug,CON7,2,16,8,0,0,0,16,2,none,,,TRUE,TRUE,TRUE
12-Jul,CON7,2,17,8.5,0,0,0,15,2,none,,,TRUE,TRUE,TRUE
21-Jul,CON7,2,17,8.5,0,0,0,15,2,none,,,TRUE,TRUE,TRUE
01-Aug,CON7,2,17,8.5,0,0,0,15,2,none,,,TRUE,TRUE,TRUE
12-Jul,CON7,2,21,10,0,0,0,16,3,none,,,TRUE,TRUE,TRUE
21-Jul,CON7,2,21,10,0,0,0,16,3,none,,,TRUE,TRUE,TRUE
01-Aug,CON7,2,21,10,0,0,0,16,3,none,,,TRUE,TRUE,TRUE
12-Jul,CON7,4,1,7,0,0,0,36,6,none,,,TRUE,FALSE,TRUE
21-Jul,CON7,4,1,7,0,0,0,36,6,none,,,TRUE,FALSE,TRUE
01-Aug,CON7,4,1,7,0,0,0,36,6,none,,,TRUE,FALSE,TRUE
12-Jul,CON7,4,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,FALSE,TRUE
21-Jul,CON7,4,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,FALSE,TRUE
01-Aug,CON7,4,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,FALSE,TRUE
12-Jul,CON7,4,4,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,FALSE,TRUE
21-Jul,CON7,4,4,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,FALSE,TRUE
01-Aug,CON7,4,4,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,FALSE,TRUE
12-Jul,CON7,4,5,4.5,0,0,0,10,0,none,,,TRUE,FALSE,TRUE
21-Jul,CON7,4,5,4.5,0,0,0,10,0,none,,,TRUE,FALSE,TRUE
01-Aug,CON7,4,5,4.5,0,0,0,10,0,none,,,TRUE,FALSE,TRUE
12-Jul,CON7,3,1,10,0,0,1,21,1,none,,whole plant finished,TRUE,FALSE,TRUE
21-Jul,CON7,3,1,10,0,0,1,21,1,none,,whole plant finished,TRUE,FALSE,TRUE
01-Aug,CON7,3,1,10,0,0,1,21,1,none,,whole plant finished,TRUE,FALSE,TRUE
12-Jul,CON7,3,2,6.5,0,0,0,10,0,none,,,TRUE,FALSE,TRUE
21-Jul,CON7,3,2,6.5,0,0,0,10,0,none,,,TRUE,FALSE,TRUE
01-Aug,CON7,3,2,6.5,0,0,0,10,0,none,,,TRUE,FALSE,TRUE
12-Jul,CON7,3,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,FALSE,TRUE
21-Jul,CON7,3,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,FALSE,TRUE
01-Aug,CON7,3,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,FALSE,TRUE
12-Jul,CON7,3,4,10,0,0,2,32,7,none,,,TRUE,FALSE,TRUE
21-Jul,CON7,3,4,10,0,0,2,32,7,none,,,TRUE,FALSE,TRUE
01-Aug,CON7,3,4,10,0,0,2,32,7,none,,,TRUE,FALSE,TRUE
12-Jul,CON7,3,5,0,0,0,5,15,6,abr,Aborted Tip,,TRUE,FALSE,TRUE
21-Jul,CON7,3,5,0,0,0,5,15,6,abr,Aborted Tip,,TRUE,FALSE,TRUE
01-Aug,CON7,3,5,0,0,0,5,15,6,abr,Aborted Tip,,TRUE,FALSE,TRUE
12-Jul,CON7,1,1,2.5,0,0,0,0,5,abr,Aborted Tip,whole plant finished,TRUE,FALSE,TRUE
21-Jul,CON7,1,1,2.5,0,0,0,0,5,abr,Aborted Tip,whole plant finished,TRUE,FALSE,TRUE
01-Aug,CON7,1,1,2.5,0,0,0,0,5,abr,Aborted Tip,whole plant finished,TRUE,FALSE,TRUE
12-Jul,CON7,1,2,1.5,0,0,1,2,0,abr,Aborted Tip,,TRUE,FALSE,TRUE
21-Jul,CON7,1,2,1.5,0,0,1,2,0,abr,Aborted Tip,,TRUE,FALSE,TRUE
01-Aug,CON7,1,2,1.5,0,0,1,2,0,abr,Aborted Tip,,TRUE,FALSE,TRUE
12-Jul,CON7,1,3,3.5,0,0,1,9,1,none,,,TRUE,FALSE,TRUE
21-Jul,CON7,1,3,3.5,0,0,1,9,1,none,,,TRUE,FALSE,TRUE
01-Aug,CON7,1,3,3.5,0,0,1,9,1,none,,,TRUE,FALSE,TRUE
