"Plot Title: CON-4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163053, SEN S/N: 10163053, LBL: ground temp)","Good Battery (LGR S/N: 10163053)","Coupler Attached (LGR S/N: 10163053)","Host Connected (LGR S/N: 10163053)","Stopped (LGR S/N: 10163053)","End Of File (LGR S/N: 10163053)"
243,06/13/23 01:00:00  AM,10.553,,,,,
244,06/13/23 01:30:00  AM,10.161,,,,,
245,06/13/23 02:00:00  AM,9.866,,,,,
246,06/13/23 02:30:00  AM,9.669,,,,,
247,06/13/23 03:00:00  AM,9.176,,,,,
248,06/13/23 03:30:00  AM,8.978,,,,,
249,06/13/23 04:00:00  AM,8.879,,,,,
250,06/13/23 04:30:00  AM,8.382,,,,,
251,06/13/23 05:00:00  AM,8.382,,,,,
252,06/13/23 05:30:00  AM,8.779,,,,,
253,06/13/23 06:00:00  AM,8.978,,,,,
254,06/13/23 06:30:00  AM,9.077,,,,,
255,06/13/23 07:00:00  AM,9.373,,,,,
256,06/13/23 07:30:00  AM,11.334,,,,,
257,06/13/23 08:00:00  AM,13.269,,,,,
258,06/13/23 08:30:00  AM,14.517,,,,,
259,06/13/23 09:00:00  AM,16.713,,,,,
260,06/13/23 09:30:00  AM,18.045,,,,,
261,06/13/23 10:00:00  AM,17.475,,,,,
262,06/13/23 10:30:00  AM,19.472,,,,,
263,06/13/23 11:00:00  AM,20.615,,,,,
264,06/13/23 11:30:00  AM,19.948,,,,,
265,06/13/23 12:00:00  PM,19.948,,,,,
266,06/13/23 12:30:00  PM,22.429,,,,,
267,06/13/23 01:00:00  PM,23.966,,,,,
268,06/13/23 01:30:00  PM,26.879,,,,,
269,06/13/23 02:00:00  PM,34.903,,,,,
270,06/13/23 02:30:00  PM,21.473,,,,,
271,06/13/23 03:00:00  PM,16.618,,,,,
272,06/13/23 03:30:00  PM,16.427,,,,,
273,06/13/23 04:00:00  PM,14.134,,,,,
274,06/13/23 04:30:00  PM,13.269,,,,,
275,06/13/23 05:00:00  PM,13.654,,,,,
276,06/13/23 05:30:00  PM,14.230,,,,,
277,06/13/23 06:00:00  PM,12.690,,,,,
278,06/13/23 06:30:00  PM,11.625,,,,,
279,06/13/23 07:00:00  PM,11.334,,,,,
280,06/13/23 07:30:00  PM,10.944,,,,,
281,06/13/23 08:00:00  PM,10.259,,,,,
282,06/13/23 08:30:00  PM,9.373,,,,,
283,06/13/23 09:00:00  PM,7.983,,,,,
284,06/13/23 09:30:00  PM,7.481,,,,,
285,06/13/23 10:00:00  PM,7.682,,,,,
286,06/13/23 10:30:00  PM,7.582,,,,,
287,06/13/23 11:00:00  PM,7.280,,,,,
288,06/13/23 11:30:00  PM,6.877,,,,,
289,06/14/23 12:00:00  AM,6.166,,,,,
290,06/14/23 12:30:00  AM,6.064,,,,,
291,06/14/23 01:00:00  AM,6.573,,,,,
292,06/14/23 01:30:00  AM,6.471,,,,,
293,06/14/23 02:00:00  AM,6.573,,,,,
294,06/14/23 02:30:00  AM,6.471,,,,,
295,06/14/23 03:00:00  AM,6.166,,,,,
296,06/14/23 03:30:00  AM,5.860,,,,,
297,06/14/23 04:00:00  AM,5.860,,,,,
298,06/14/23 04:30:00  AM,5.962,,,,,
299,06/14/23 05:00:00  AM,5.962,,,,,
300,06/14/23 05:30:00  AM,6.064,,,,,
301,06/14/23 06:00:00  AM,6.166,,,,,
302,06/14/23 06:30:00  AM,6.166,,,,,
303,06/14/23 07:00:00  AM,6.877,,,,,
304,06/14/23 07:30:00  AM,6.877,,,,,
305,06/14/23 08:00:00  AM,6.978,,,,,
306,06/14/23 08:30:00  AM,7.983,,,,,
307,06/14/23 09:00:00  AM,8.182,,,,,
308,06/14/23 09:30:00  AM,9.866,,,,,
309,06/14/23 10:00:00  AM,10.651,,,,,
310,06/14/23 10:30:00  AM,11.625,,,,,
311,06/14/23 11:00:00  AM,13.942,,,,,
312,06/14/23 11:30:00  AM,13.558,,,,,
313,06/14/23 12:00:00  PM,11.916,,,,,
314,06/14/23 12:30:00  PM,17.284,,,,,
315,06/14/23 01:00:00  PM,17.189,,,,,
316,06/14/23 01:30:00  PM,16.141,,,,,
317,06/14/23 02:00:00  PM,16.427,,,,,
318,06/14/23 02:30:00  PM,32.086,,,,,
319,06/14/23 03:00:00  PM,31.472,,,,,
320,06/14/23 03:30:00  PM,17.475,,,,,
321,06/14/23 04:00:00  PM,16.903,,,,,
322,06/14/23 04:30:00  PM,14.709,,,,,
323,06/14/23 05:00:00  PM,13.942,,,,,
324,06/14/23 05:30:00  PM,12.980,,,,,
325,06/14/23 06:00:00  PM,11.334,,,,,
326,06/14/23 06:30:00  PM,10.651,,,,,
327,06/14/23 07:00:00  PM,10.944,,,,,
328,06/14/23 07:30:00  PM,11.139,,,,,
329,06/14/23 08:00:00  PM,10.161,,,,,
330,06/14/23 08:30:00  PM,9.373,,,,,
331,06/14/23 09:00:00  PM,8.481,,,,,
332,06/14/23 09:30:00  PM,8.182,,,,,
333,06/14/23 10:00:00  PM,7.782,,,,,
334,06/14/23 10:30:00  PM,7.882,,,,,
335,06/14/23 11:00:00  PM,7.782,,,,,
336,06/14/23 11:30:00  PM,7.782,,,,,
337,06/15/23 12:00:00  AM,7.582,,,,,
338,06/15/23 12:30:00  AM,7.582,,,,,
339,06/15/23 01:00:00  AM,7.582,,,,,
340,06/15/23 01:30:00  AM,7.481,,,,,
341,06/15/23 02:00:00  AM,7.481,,,,,
342,06/15/23 02:30:00  AM,6.877,,,,,
343,06/15/23 03:00:00  AM,6.978,,,,,
344,06/15/23 03:30:00  AM,6.674,,,,,
345,06/15/23 04:00:00  AM,6.471,,,,,
346,06/15/23 04:30:00  AM,5.962,,,,,
347,06/15/23 05:00:00  AM,6.064,,,,,
348,06/15/23 05:30:00  AM,6.775,,,,,
349,06/15/23 06:00:00  AM,7.381,,,,,
350,06/15/23 06:30:00  AM,7.782,,,,,
351,06/15/23 07:00:00  AM,8.382,,,,,
352,06/15/23 07:30:00  AM,9.077,,,,,
353,06/15/23 08:00:00  AM,9.866,,,,,
354,06/15/23 08:30:00  AM,10.161,,,,,
355,06/15/23 09:00:00  AM,11.431,,,,,
356,06/15/23 09:30:00  AM,12.110,,,,,
357,06/15/23 10:00:00  AM,12.013,,,,,
358,06/15/23 10:30:00  AM,11.819,,,,,
359,06/15/23 11:00:00  AM,11.916,,,,,
360,06/15/23 11:30:00  AM,12.594,,,,,
361,06/15/23 12:00:00  PM,13.558,,,,,
362,06/15/23 12:30:00  PM,19.758,,,,,
363,06/15/23 01:00:00  PM,40.761,,,,,
364,06/15/23 01:30:00  PM,43.723,,,,,
365,06/15/23 02:00:00  PM,43.480,,,,,
366,06/15/23 02:30:00  PM,37.055,,,,,
367,06/15/23 03:00:00  PM,40.530,,,,,
368,06/15/23 03:30:00  PM,32.911,,,,,
369,06/15/23 04:00:00  PM,19.377,,,,,
370,06/15/23 04:30:00  PM,17.379,,,,,
371,06/15/23 05:00:00  PM,17.189,,,,,
372,06/15/23 05:30:00  PM,16.141,,,,,
373,06/15/23 06:00:00  PM,15.664,,,,,
374,06/15/23 06:30:00  PM,16.713,,,,,
375,06/15/23 07:00:00  PM,15.569,,,,,
376,06/15/23 07:30:00  PM,13.558,,,,,
377,06/15/23 08:00:00  PM,13.173,,,,,
378,06/15/23 08:30:00  PM,13.173,,,,,
379,06/15/23 09:00:00  PM,12.401,,,,,
380,06/15/23 09:30:00  PM,11.819,,,,,
381,06/15/23 10:00:00  PM,11.528,,,,,
382,06/15/23 10:30:00  PM,11.041,,,,,
383,06/15/23 11:00:00  PM,10.846,,,,,
384,06/15/23 11:30:00  PM,10.357,,,,,
385,06/16/23 12:00:00  AM,10.063,,,,,
386,06/16/23 12:30:00  AM,9.571,,,,,
387,06/16/23 01:00:00  AM,8.382,,,,,
388,06/16/23 01:30:00  AM,7.582,,,,,
389,06/16/23 02:00:00  AM,7.782,,,,,
390,06/16/23 02:30:00  AM,8.182,,,,,
391,06/16/23 03:00:00  AM,8.481,,,,,
392,06/16/23 03:30:00  AM,8.481,,,,,
393,06/16/23 04:00:00  AM,8.680,,,,,
394,06/16/23 04:30:00  AM,8.779,,,,,
395,06/16/23 05:00:00  AM,8.581,,,,,
396,06/16/23 05:30:00  AM,7.983,,,,,
397,06/16/23 06:00:00  AM,8.182,,,,,
398,06/16/23 06:30:00  AM,9.176,,,,,
399,06/16/23 07:00:00  AM,9.669,,,,,
400,06/16/23 07:30:00  AM,10.259,,,,,
401,06/16/23 08:00:00  AM,11.041,,,,,
402,06/16/23 08:30:00  AM,12.401,,,,,
403,06/16/23 09:00:00  AM,14.613,,,,,
404,06/16/23 09:30:00  AM,16.237,,,,,
405,06/16/23 10:00:00  AM,16.999,,,,,
406,06/16/23 10:30:00  AM,17.475,,,,,
407,06/16/23 11:00:00  AM,18.045,,,,,
408,06/16/23 11:30:00  AM,17.760,,,,,
409,06/16/23 12:00:00  PM,20.710,,,,,
410,06/16/23 12:30:00  PM,22.429,,,,,
411,06/16/23 01:00:00  PM,28.953,,,,,
412,06/16/23 01:30:00  PM,20.615,,,,,
413,06/16/23 02:00:00  PM,20.424,,,,,
414,06/16/23 02:30:00  PM,21.760,,,,,
415,06/16/23 03:00:00  PM,18.521,,,,,
416,06/16/23 03:30:00  PM,17.475,,,,,
417,06/16/23 04:00:00  PM,16.903,,,,,
418,06/16/23 04:30:00  PM,14.900,,,,,
419,06/16/23 05:00:00  PM,15.187,,,,,
420,06/16/23 05:30:00  PM,14.517,,,,,
421,06/16/23 06:00:00  PM,14.709,,,,,
422,06/16/23 06:30:00  PM,14.900,,,,,
423,06/16/23 07:00:00  PM,13.942,,,,,
424,06/16/23 07:30:00  PM,13.076,,,,,
425,06/16/23 08:00:00  PM,12.304,,,,,
426,06/16/23 08:30:00  PM,11.722,,,,,
427,06/16/23 09:00:00  PM,11.236,,,,,
428,06/16/23 09:30:00  PM,10.846,,,,,
429,06/16/23 10:00:00  PM,10.748,,,,,
430,06/16/23 10:30:00  PM,10.357,,,,,
431,06/16/23 11:00:00  PM,10.063,,,,,
432,06/16/23 11:30:00  PM,9.077,,,,,
433,06/17/23 12:00:00  AM,8.282,,,,,
434,06/17/23 12:30:00  AM,7.582,,,,,
435,06/17/23 01:00:00  AM,6.775,,,,,
436,06/17/23 01:30:00  AM,6.573,,,,,
437,06/17/23 02:00:00  AM,6.775,,,,,
438,06/17/23 02:30:00  AM,7.079,,,,,
439,06/17/23 03:00:00  AM,6.978,,,,,
440,06/17/23 03:30:00  AM,7.079,,,,,
441,06/17/23 04:00:00  AM,7.582,,,,,
442,06/17/23 04:30:00  AM,7.782,,,,,
443,06/17/23 05:00:00  AM,6.978,,,,,
444,06/17/23 05:30:00  AM,7.079,,,,,
445,06/17/23 06:00:00  AM,7.381,,,,,
446,06/17/23 06:30:00  AM,7.381,,,,,
447,06/17/23 07:00:00  AM,7.179,,,,,
448,06/17/23 07:30:00  AM,9.275,,,,,
449,06/17/23 08:00:00  AM,9.768,,,,,
450,06/17/23 08:30:00  AM,9.965,,,,,
451,06/17/23 09:00:00  AM,11.625,,,,,
452,06/17/23 09:30:00  AM,12.883,,,,,
453,06/17/23 10:00:00  AM,14.038,,,,,
454,06/17/23 10:30:00  AM,14.230,,,,,
455,06/17/23 11:00:00  AM,12.594,,,,,
456,06/17/23 11:30:00  AM,12.594,,,,,
457,06/17/23 12:00:00  PM,13.365,,,,,
458,06/17/23 12:30:00  PM,18.140,,,,,
459,06/17/23 01:00:00  PM,38.602,,,,,
460,06/17/23 01:30:00  PM,42.878,,,,,
461,06/17/23 02:00:00  PM,43.723,,,,,
462,06/17/23 02:30:00  PM,35.222,,,,,
463,06/17/23 03:00:00  PM,33.848,,,,,
464,06/17/23 03:30:00  PM,22.142,,,,,
465,06/17/23 04:00:00  PM,19.948,,,,,
466,06/17/23 04:30:00  PM,17.665,,,,,
467,06/17/23 05:00:00  PM,16.332,,,,,
468,06/17/23 05:30:00  PM,14.709,,,,,
469,06/17/23 06:00:00  PM,14.038,,,,,
470,06/17/23 06:30:00  PM,13.461,,,,,
471,06/17/23 07:00:00  PM,12.304,,,,,
472,06/17/23 07:30:00  PM,11.139,,,,,
473,06/17/23 08:00:00  PM,10.259,,,,,
474,06/17/23 08:30:00  PM,9.373,,,,,
475,06/17/23 09:00:00  PM,8.779,,,,,
476,06/17/23 09:30:00  PM,8.382,,,,,
477,06/17/23 10:00:00  PM,8.082,,,,,
478,06/17/23 10:30:00  PM,6.978,,,,,
479,06/17/23 11:00:00  PM,6.471,,,,,
480,06/17/23 11:30:00  PM,6.064,,,,,
481,06/18/23 12:00:00  AM,5.860,,,,,
482,06/18/23 12:30:00  AM,5.757,,,,,
483,06/18/23 01:00:00  AM,5.655,,,,,
484,06/18/23 01:30:00  AM,5.141,,,,,
485,06/18/23 02:00:00  AM,4.934,,,,,
486,06/18/23 02:30:00  AM,4.831,,,,,
487,06/18/23 03:00:00  AM,4.207,,,,,
488,06/18/23 03:30:00  AM,3.683,,,,,
489,06/18/23 04:00:00  AM,4.623,,,,,
490,06/18/23 04:30:00  AM,4.831,,,,,
491,06/18/23 05:00:00  AM,4.207,,,,,
492,06/18/23 05:30:00  AM,4.415,,,,,
493,06/18/23 06:00:00  AM,4.207,,,,,
494,06/18/23 06:30:00  AM,4.311,,,,,
495,06/18/23 07:00:00  AM,5.037,,,,,
496,06/18/23 07:30:00  AM,6.775,,,,,
497,06/18/23 08:00:00  AM,8.680,,,,,
498,06/18/23 08:30:00  AM,9.275,,,,,
499,06/18/23 09:00:00  AM,9.373,,,,,
500,06/18/23 09:30:00  AM,9.669,,,,,
501,06/18/23 10:00:00  AM,10.553,,,,,
502,06/18/23 10:30:00  AM,11.334,,,,,
503,06/18/23 11:00:00  AM,10.748,,,,,
